정관사,단어,뜻,중요도,pos,,
,außer,밖에,2,verb,,
,außerdem,이외에,2,verb,,
,außerhalb,~의 밖에,2,verb,,
,äußerlich,"외부의, 외면적인",2,adjective,,
,äußern,나타내다. 나타나다,2,verb,,
,äußerordentlich,"특별한, 이상한",2,adjective,,
,äußerst,"가장 밖의, 최후의",2,verb,,
die,Äußerung,"발표, 의견",2,noun,,
,aussetzen,방치하다,2,verb,,
die,Aussicht,"조망, 전망",2,noun,,
,aussperren,들어오지 못하게 하다,1,verb,,
die,Aussprache,발음,2,noun,,
,aussprechen,"발음하다, 진술하다",1,verb,,
der,Ausspruch,"발언, 격언",1,noun,,
der,Ausstand,졸업,1,noun,,
,ausstatten,공급하다,1,verb,,
,aussteigen,내리다,2,verb,,
,ausstellen,"진열하다, 전시하다",2,verb,,
die,Ausstellung,"전람회, 박람회",2,noun,,
,ausstoßen,내쫓다,1,verb,,
,ausstrecken,"(팔, 다리) 쭉 뻗다",2,verb,,
,aussuchen,선발하다,1,verb,,
der,Austausch,"교환, 교체",1,noun,,
,austauschen,"교환하다, 교체하다",2,verb,,
die,Auster,굴,2,noun,,
,austragen,배달하다,1,verb,,
,austreten,걸어나가다,1,verb,,
,ausüben,"수행하다, 영향미치다",2,verb,,
die,Auswahl,"선택, 선발",2,noun,,
,auswählen,"선택하다, 선발하다",2,verb,,
,auswandern,이민가다,1,verb,,
,auswärtig,"외지의, 국외의",1,adjective,,
,auswärts,밖으로,2,adverb,,
,auswechseln,교환하다,1,verb,,
der,Ausweg,"출구, 해결책",1,noun,,
,ausweichen,피하다,2,verb,,
der,Ausweis,신분증명서,3,noun,,
,ausweisen,증명하다,1,verb,,
,auswendig,암기하여,2,adjective,,
,auszahlen,지불하다,1,verb,,
die,Auszahlung,지불,1,noun,,
,auszeichnen,"시상하다, 특징짓다, 뛰어나다",1,verb,,
,ausziehen,"펼치다, 뽑아내다",3,verb,,
der,Auszug,"발췌, 추출물, 이사",2,noun,,
die,Axt,도끼,1,noun,,
das,Cafe,커피숍,3,noun,,
der,Champion,챔피언,1,noun,,
die,Chance,기회,1,noun,,
das,Chaos,혼란,2,noun,,
,chaotisch,무질서한,1,adjective,,
der,Charakter,"특성, 특징",2,noun,,
,charakterisieren,특징지우다,1,verb,,
,charakteristisch,특색있는,1,adjective,,
der,Chauffeur,(택시) 운전사,1,noun,,
der,Chef,"우두머리, 장",3,noun,,
die,Chemie,화학,2,noun,,
,chemisch,화학적인,1,adjective,,
der,Chinese,중국인,1,noun,,
der,Chirurg,외과의사,1,noun,,
die,Chirurgie,"외과의술, 외과",1,noun,,
der,Chor,"합창단, 합창",2,noun,,
der,Christ,그리스도교도,2,noun,,
das,Christentum,그리스도교,2,noun,,
,christlich,그리스도교의,1,adjective,,
der,Christus,그리스도,2,noun,,
die,Chronik,연대기,1,noun,,
,chronisch,만성의,1,adjective,,
,circa,대략,1,verb,,
das,Dach,지붕,2,noun,,
,dadeln,"비난하다, 꾸짖다",2,verb,,
,daheim,"자기 집에서, 고향에서",2,verb,,
,damals,"그 당시, 그 무렵",2,adverb,,
die,Dame,"귀부인, 숙녀",3,noun,,
der,Damm,"제방, 댐",2,noun,,
,dämmern,"동트다, 밝아지다",2,verb,,
die,Dämmerung,어스름,2,noun,,
der,Dampf,"김, 수증기",2,noun,,
,danach,그 다음에,1,verb,,
,daneben,게다가,2,verb,,
고,Dänemark,덴마크,1,noun,,
der,Dank,감사,3,noun,,
,dankbar,감사하고 있는,2,adjective,,
,danken,감사하다,3,verb,,
,darlegen,"명시하다, 설명하다",1,verb,,
der,Darm,장(腸),1,noun,,
,darstellen,"표현하다, 이루다",2,verb,,
das,Dasein,"존재, 생활",1,noun,,
,dastehen,서있다,1,verb,,
die,Dauer,"지속, 기간",2,noun,,
,dauern,지속되다,3,verb,,
,dauern,불쌍히 여기다,1,verb,,
der,Daumen,엄지 손가락,2,noun,,
das,Deck,"갑판, 데크",1,noun,,
die,Decke,"뚜껑, 이불",2,noun,,
der,Deckel,"뚜껑, 덮개",2,noun,,
,decken,"덮다, 지불하다",2,verb,,
der,Degen,"검, 긴 칼",1,noun,,
,dehnen,"늘이다, 팽창시키다",2,verb,,
der,Deich,"둑, 제방",1,noun,,
die,Delegation,대표단,1,noun,,
der,Delphin,돌고래,1,noun,,
die,Demokratie,민주주의,2,noun,,
der,Demonstrant,시위운동자,1,noun,,
die,Demonstration,시위,1,noun,,
